weight,
2.04101
1.94744
1.68336
1.54987
1.53852
1.47872
1.35338
1.33766
1.01233
0.84042
0.70335
0.40694
0.32076
0.28639
0.27241
0.24765
0.14736
0.07112
0.04136
0.04106
0.04106
