weight,id
0.27241,1188
0.40694,3434
1.94744,531
1.54987,1311
2.04101,3466
1.33766,1229
1.53852,1162
1.68336,4050
1.47872,926
0.84042,4139
1.01233,4136
1.35338,4514
0.70335,4443
0.32076,4452
0.28639,4576
0.24765,4577
0.14736,4442
0.07112,4453
0.04106,4444
0.04106,4456
0.04136,4391
